"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_IEFC_ELECTRICAL_BOX_NAME","Station Electrical Box","Station Electrical Box","Staniční Elektrická Skříňka","Station Elektrischer Kasten","Электрическая коробка станции","Skrzynka Elektryczna Stacji","Állomás Elektromos Doboz","Stazione Scatola elettrica","Caja Eléctrica de la Estación","Boîte électrique de Station","车站电器箱","場所の電気箱","Caixa Elétrica Da Estação","车站电器箱",
"STR_IEFC_ELECTRICAL_BOX_DESC","Allows to power fuel stations","Allows to power fuel stations","Umožňuje napájení čerpacích stanic","Ermöglicht die Stromversorgung von Tankstellen","Позволяет питать топливные станции","Umożliwia zasilanie stacji paliw","Lehetővé teszi az üzemanyagtöltő állomások táplálását","Permette di alimentare le stazioni di carburante","Permite alimentar estaciones de combustible","Permet d'alimenter les stations-service","允许为加油站供电","燃料の場所に動力を与えることを割り当てる","Permite alimentar estações de combustível","允许为加油站供电",
"STR_IEFC_AVIATION_FUEL","Aviation Fuel","Aviation Fuel","Letecké Palivo","Flugbenzin","Авиационное топливо","Paliwo Lotnicze","Repülőgép-Üzemanyag","Carburante per aviazione","Combustible de Aviación","Carburant Aviation","航空燃料","航空燃料","Combustível De Aviação","航空燃料",
"STR_IEFC_NO_ENERGY","Fuel pumps require energy to run","Fuel pumps require energy to run","Palivová čerpadla vyžadují ke spuštění energii","Kraftstoffpumpen benötigen Energie zum Laufen","Для работы топливных насосов требуется энергия","Pompy paliwowe wymagają energii do pracy","Az üzemanyag-szivattyúk működéséhez energia szükséges","Le pompe del carburante richiedono energia per funzionare","Las bombas de combustible requieren energía para funcionar","Les pompes à carburant nécessitent de l'énergie pour fonctionner","燃油泵需要能量才能运行","燃料ポンプは、実行するためにエネルギーを必要とします","As bombas de combustível requerem energia para funcionar","燃油泵需要能量才能运行",
"STR_IEFC_NO_FUELTYPE","There is no {fuel_type} at this station","There is no {fuel_type} at this station","","An dieser Station gibt es kein {fuel_type}","На этой станции нет {fuel_type}","Na tej stacji nie ma {fuel_type} ","Nincs {fuel_type} ezen az állomáson","Non c'è {fuel_type} in questa stazione","No hay {fuel_type} en esta estación","Il n'y a pas de {fuel_type} à cette station","本站没有{fuel_type}","","Não há {fuel_type} nesta estação","本站没有{fuel_type}",
"STR_IEFC_REFUEL","Refuel {fuel_type}","Refuel {fuel_type}","Tankování {fuel_type}","Tanken {fuel_type}","Заправляться {fuel_type}","Tankować {fuel_type}","Tankolás {fuel_type}","Rifornisci {fuel_type}","Repostar {fuel_type}","Faire le plein {fuel_type}","加油{fuel_type}","燃料を補給する{fuel_type}","Reabastecer {fuel_type}","加油{fuel_type}",
"STR_IEFC_FILL_FUELTYPE","Fill with {fuel_type}","Fill with {fuel_type}","Naplňte {fuel_type}","Mit {fuel_type} füllen","Заправьте {fuel_type}","Napełnij {fuel_type}","Töltse fel {fuel_type}","Riempire con {fuel_type}","Llenar con {fuel_type}","Remplir avec {fuel_type}","用{fuel_type}填充","{fuel_type}で埋める","Abastecer com {fuel_type}","用{fuel_type}填充",
"STR_IEFC_SIPHON","Extract fuel","Extract fuel","Extrahujte palivo","Kraftstoff extrahieren","Добывать топливо","Wydobyć paliwo","Üzemanyag kivonása","Estrarre carburante","Extraer combustible","Extraire le carburant","提取燃料","抽出燃料","Extrair combustível","提取燃料",
"STR_IEFC_REFUEL_FUELTYPE","Refuel {fuel_type}","Refuel {fuel_type}","Natankovat {fuel_type}","Tanken {fuel_type}","Заправляться {fuel_type}","Tankować {fuel_type}","Tankolás {fuel_type}","Rifornimento {fuel_type}","Repostar {fuel_type}","Faire le plein {fuel_type}","加油{fuel_type}","燃料補給{fuel_type}","Abastecer {fuel_type}","加油{fuel_type}",
"STR_IEFC_MEASURE_FUELTYPE","Measure {fuel_type} level","Measure {fuel_type} level","Míra {fuel_type} úroveň","Messen Sie den Füllstand von {fuel_type}","Измерьте уровень {fuel_type}","Zmierz poziom {fuel_type} ","{fuel_type} szint mérése","Misura {fuel_type} livello","Medir nivel de {fuel_type} ","Mesurer le niveau {fuel_type} ","测量{fuel_type}级别","測定{fuel_type}レベル","Medir o nível {fuel_type} ","测量{fuel_type}级别",
"STR_IEFC_INFINITE","Infinite","Infinite","Konečný","Unendlich","Бесконечный","Infinite","Végtelen","Infinito","Infinito","Infini","无限","無限","Infinito","无限",
